Station (alphabetical by borough),2011,2012,2013,2014,2015,2016,2015-2016 Change,,2016 Rank,Borough
Times Sq-42 St/42 St ,60604822,62069437,63617614,65948730,66359208,64531511,-1827697,-0.028,1,Manhattan
Grand Central-42 St ,42795505,42984249,44893301,46074652,46737564,46121509,-616055,-0.013,2,Manhattan
34 St-Herald Square ,37731386,37154138,38213448,39285568,39541865,39000352,-541513,-0.014,3,Manhattan
14 St-Union Sq ,34927178,34639575,35309414,35677468,35320623,34289822,-1030801,-0.029,4,Manhattan
34 St-Penn Station ,26758623,27010176,27730331,28638643,28309160,27741367,-567793,-0.02,5,Manhattan
34 St-Penn Station ,24751771,24851746,25726374,26493571,26147434,25183869,-963565,-0.037,6,Manhattan
Fulton St ,17971983,17868334,18721694,20102397,21671684,25162937,3491253,0.161,7,Manhattan
59 St-Columbus Circle ,21300892,21599586,22774421,23566961,23299666,23203443,-96223,-0.004,8,Manhattan
Lexington Av/59 St ,20377141,20628942,21282767,21557198,21407792,21000635,-407157,-0.019,9,Manhattan
86 St ,19425347,19686985,20528208,20735032,20890828,20337593,-553235,-0.026,10,Manhattan
Lexington Av-53 St/51 St ,18948032,19280036,20262110,20513370,20479923,19929405,-550518,-0.027,11,Manhattan
Flushing-Main St ,18967751,19034789,19102434,19085948,19082391,19257879,175488,0.009,12,Queens
47-50 Sts-Rockefeller Center ,17466013,17091251,17759382,18236646,18469446,18086203,-383243,-0.021,13,Manhattan
74-Bway/Jackson Hts-Roosevelt Av ,16377496,16366669,16864938,17087795,17224537,17301839,77302,0.004,14,Queens
42 St-Bryant Pk/5 Av ,14752187,14917245,15527439,15896805,16220605,16934142,713537,0.044,15,Manhattan
14 St/6 Av ,15199211,15487097,15844699,16215866,16121318,16118952,-2366,0,16,Manhattan
Chambers St/WTC/Park Place ,15458781,15364366,15641210,16088983,16910084,16079624,-830460,-0.049,17,Manhattan
Canal St ,15577018,15529659,15227139,15104077,15094135,15274896,180761,0.012,18,Manhattan
14 St/8 Av ,12415290,13044037,13903211,14340856,14763727,14572075,-191652,-0.013,19,Manhattan
West 4 St-Washington Sq ,12506322,12727443,13533369,13942101,14147148,13955067,-192081,-0.014,20,Manhattan
Atlantic Av-Barclays Ctr ,10726332,11526090,13122876,13617153,13690678,13818168,127490,0.009,21,Brooklyn
72 St ,12784301,13043031,13456906,13375012,13341361,13257766,-83595,-0.006,22,Manhattan
Jay St-MetroTech ,11149629,11492780,11793956,12197352,12765132,13091255,326123,0.026,23,Brooklyn
96 St ,11784341,12108040,12582947,13108304,13008596,12700397,-308199,-0.024,24,Manhattan
Jamaica Center-Parsons-Archer ,12147163,12204423,12507906,12784635,12622977,12470914,-152063,-0.012,25,Queens
Broadway-Lafayette St/Bleecker St ,11651990,11792114,12560629,12913327,12666868,12405639,-261229,-0.021,26,Manhattan
Court St/Borough Hall ,11115037,10988473,11291705,11474717,11360058,11080334,-279724,-0.025,27,Brooklyn
77 St ,11163007,11109431,11167386,11454604,11014861,10927200,-87661,-0.008,28,Manhattan
68 St-Hunter College ,10481234,10373302,10520477,10545971,10237854,10124694,-113160,-0.011,29,Manhattan
Brooklyn Bridge-City Hall/Chambers St,10681037,10650508,10721984,10938927,10481576,10059080,-422496,-0.04,30,Manhattan
Bedford Av ,7738863,8342397,9214395,9892516,9388289,9688560,300271,0.032,31,Brooklyn
57 St-7 Av ,8613792,8726980,8945751,9314649,9512090,9616547,104457,0.011,32,Manhattan
125 St ,8173608,8427453,8932680,9342667,9558837,9603878,45041,0.005,33,Manhattan
33 St ,9220240,9374676,9756409,9798598,9701723,9577123,-124600,-0.013,34,Manhattan
